transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created,validator_type
37916,0,0.0,0,120,36079.0,unknown,44,27,attack
37917,0,0.0,0,120,36079.0,unknown,44,27,attack
37919,0,0.0,0,120,36079.0,unknown,44,27,attack
37920,0,0.0,0,120,36079.0,unknown,44,27,attack
37922,0,0.0,0,111,36079.0,unknown,45,27,attack
37923,0,0.0,0,111,36079.0,unknown,45,27,attack
37925,0,0.0,0,113,36079.0,unknown,45,27,attack
37926,0,0.0,0,113,36079.0,unknown,45,27,attack
37928,0,0.0,0,115,36079.0,unknown,45,27,attack
37929,0,0.0,0,115,36079.0,unknown,45,27,attack
37931,0,0.0,0,119,36079.0,unknown,45,27,attack
37932,0,0.0,0,119,36079.0,unknown,45,27,attack
37934,0,0.0,0,111,36079.0,unknown,45,27,attack
37935,0,0.0,0,111,36079.0,unknown,45,27,attack
37937,0,0.0,0,120,36079.0,unknown,46,27,normal
37938,0,0.0,0,120,36079.0,unknown,46,27,normal
37940,0,0.0,0,117,36079.0,unknown,46,27,normal
37941,0,0.0,0,117,36079.0,unknown,46,27,normal
37943,0,0.0,0,117,36079.0,unknown,46,27,normal
37944,0,0.0,0,117,36079.0,unknown,46,27,normal
37946,0,0.0,0,119,36079.0,unknown,46,27,normal
37947,0,0.0,0,119,36079.0,unknown,46,27,normal
37949,0,0.0,0,117,36079.0,unknown,46,27,normal
37950,0,0.0,0,117,36079.0,unknown,46,27,normal
37952,0,0.0,0,120,36079.0,unknown,47,27,attack
37953,0,0.0,0,120,36079.0,unknown,47,27,attack
37955,0,0.0,0,117,36079.0,unknown,47,27,attack
37956,0,0.0,0,117,36079.0,unknown,47,27,attack
37958,0,0.0,0,111,36079.0,unknown,47,27,attack
37959,0,0.0,0,111,36079.0,unknown,47,27,attack
37961,0,0.0,0,115,36079.0,unknown,47,27,attack
37962,0,0.0,0,115,36079.0,unknown,47,27,attack
37964,0,0.0,0,112,36079.0,unknown,47,28,attack
37965,0,0.0,0,112,36079.0,unknown,47,28,attack
37967,0,0.0,0,111,36079.0,unknown,48,28,normal
37968,0,0.0,0,111,36079.0,unknown,48,28,normal
37970,0,0.0,0,113,36079.0,unknown,48,28,normal
