block_num,validator_id,validator_stake,total_gas_fee,total_mev_available,block_reward,validator_reinvestment_factor,validator_validator_count
470,validator_6,160000000000,2900000,0,2900000,True,5
471,validator_12,480000000000,4520000,30200,4550200,True,15
472,validator_18,32000000000,54090000,7190000,61280000,True,1
473,validator_16,32000000000,25920000,0,25920000,True,1
474,validator_1,64000000000,280000,0,280000,True,2
475,validator_14,480000000000,1172000,300300,1472300,True,15
476,validator_1,64000000000,46754000,7744540,54498540,True,2
477,validator_11,320000000000,10593000,523200,11116200,True,10
478,validator_15,160000000000,1020000,0,1020000,True,5
479,validator_8,320000000000,4090000,0,4090000,False,10
480,validator_12,480000000000,23636000,47700,23683700,True,15
481,validator_2,160000000000,82046000,312200,82358200,True,5
482,validator_17,32000000000,46820000,88100,46908100,False,1
483,validator_16,32000000000,53857000,708200,54565200,True,1
484,validator_9,64000000000,1660000,15700,1675700,True,2
485,validator_13,32000000000,2230000,0,2230000,False,1
486,validator_9,64000000000,51690000,122320,51812320,True,2
487,validator_2,160000000000,34288000,18095200,52383200,True,5
488,validator_2,160000000000,3820000,0,3820000,True,5
489,validator_8,320000000000,7360000,152000,7512000,False,10
490,validator_1,64000000000,5390000,0,5390000,True,2
491,validator_5,32000000000,85000,0,85000,False,1
492,validator_7,480000000000,31329000,155000,31484000,True,15
493,validator_15,160000000000,4335000,231000,4566000,True,5
494,validator_0,160000000000,90602000,497280,91099280,True,5
495,validator_7,480000000000,2470000,7203900,9673900,True,15
496,validator_10,320000000000,5823000,0,5823000,True,10
497,validator_12,480000000000,220000,0,220000,True,15
498,validator_15,160000000000,91060000,834690,91894690,True,5
499,validator_8,320000000000,8217000,0,8217000,False,10
500,validator_12,480000000000,21709000,215000,21924000,True,15
501,validator_4,64000000000,6180000,546600,6726600,False,2
502,validator_11,320000000000,26508000,167500,26675500,True,10
503,validator_7,480000000000,7790000,0,7790000,True,15
504,validator_9,64000000000,13425000,769000,14194000,True,2
505,validator_14,480000000000,82000,0,82000,True,15
506,validator_10,320000000000,480000,5640,485640,True,10
507,validator_12,480000000000,1120000,0,1120000,True,15
508,validator_3,160000000000,2080000,0,2080000,True,5
509,validator_12,480000000000,20492000,24700,20516700,True,15
510,validator_12,480000000000,580000,0,580000,True,15
